"MODEL","2025","2024","2023","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013"
"AEROX 155 RACING","","15500000","15000000","14500000","14000000","13500000","12000000","11000000","10500000","","","",""
"AEROX 155 SMART KEYLESS/ABS KEYLESS","17000000","16500000","16000000","15500000","15000000","14500000","13000000","12000000","11500000","","","",""
"ALL FINO","8500000","8000000","7500000","7000000","6500000","6000000","5500000","5000000","4500000","4000000","","",""
"ALL NEW NMAX CONNECTED/NON CONNECTED","20500000","19500000","18500000","17500000","17000000","16500000","15500000","14500000","13500000","13000000","12000000","",""
"ALL NEW VIXION 150 VVA","13000000","12500000","12000000","11000000","10000000","9000000","8000000","7000000","6500000","","","",""
"ALL NEW VIXION 150 VVA R","13500000","13000000","12500000","11500000","10500000","9500000","8500000","7500000","7000000","","","",""
"BEAT ESP CW FI/ KARBU","","","","","","","","","","6000000","5500000","5000000","4500000"
"BEAT FI POP CW","","","","","","","5500000","5000000","4500000","","","",""
"BEAT SPOKE/JARI-JARI","","","","","","","","","","5500000","5000000","4000000",""
"CB 150 R LED","15000000","14500000","14000000","13500000","12500000","11500000","10500000","9500000","9000000","8000000","7000000","",""
"CB VERZA CW","9000000","8500000","8000000","7500000","7000000","6500000","6000000","5500000","5000000","4500000","","",""
"CBR 150 LED 150 ABS LED/STD LED","16000000","15500000","15000000","14500000","14000000","","","","","","","",""
"CRF 150","18500000","18000000","17500000","17000000","16000000","15000000","14000000","13000000","12000000","11000000","","",""
"FAZZIO","12000000","11500000","11000000","10500000","","","","","","","","",""
"FILANO","15500000","15000000","14500000","14000000","","","","","","","","",""
"FREEGO S/ABS","9500000","9000000","8500000","8000000","","","","","","","","",""
"GEAR 125/125 S/G-ULTIMATE 125 HYBRID","9500000","9000000","8500000","8000000","7500000","7000000","","","","","","",""
"GENIO","","","","","8000000","7500000","7000000","","","","","",""
"JUPITER MX KING 150","14000000","13000000","12500000","12000000","11500000","10500000","10000000","9500000","8500000","7500000","6500000","",""
"LEXI","10000000","9500000","9000000","8500000","","","","","","","","",""
"LEXI 125 S KEYLESS / ABS KEYLESS","10500000","10000000","9500000","9000000","","","","","","","","",""
"MIO GT 110 / MIO J","","","","","","","","","","4500000","4000000","",""
"MIO M3 CW/MIO Z","9500000","9000000","8500000","8000000","7500000","7000000","6500000","5500000","5000000","4500000","4000000","",""
"MIO S","","","","7500000","7000000","6500000","6000000","5000000","4500000","","","",""
"N MAX/ABS","","","","","","","14500000","13500000","12500000","12000000","11000000","",""
"NEW BEAT LED ESP CW FI DIGITAL/STREET","12500000","12000000","11500000","11000000","10500000","10000000","9000000","8500000","8000000","6500000","","",""
"NEW GENIO BAN BESAR","11000000","10500000","10000000","9500000","","","","","","","","",""
"NEW JUPITER Z CW","10000000","9500000","9000000","8500000","7500000","6500000","5500000","5000000","","","","",""
"NEW SCORPIO Z CW","","","","","","","","","","","5000000","4500000","4000000"
"NEW SUPRA X 125 CW FI/125 DB","10000000","9500000","9000000","8500000","8000000","7500000","7000000","6500000","6000000","5000000","4000000","3500000","3000000"
"NEW VARIO 150 KEYLESS","","","","14000000","13500000","13000000","12500000","12000000","11500000","","","",""
"NEW VARIO 150 NON KEYLESS","","","","13000000","12500000","12000000","11500000","11000000","10500000","","","",""
"NEW VARIO 160 KEYLESS","16000000","15500000","15000000","14500000","","","","","","","","",""
"NINJA 150 RR","","","","","","","","","","","14000000","13000000","12000000"
"NINJA 250 FI/SMART KEY","","","20000000","19000000","18000000","17000000","16000000","15500000","15000000","14500000","","",""
"NINJA 250 MONO/Z 250 SL/ABS","","","14000000","13000000","12500000","11500000","11000000","10000000","9000000","8000000","","",""
"NINJA L/SS/R","","","","","","","","","","15000000","14500000","13500000","12500000"
"NINJA WARRIOR","","","16000000","15000000","14500000","13500000","13000000","12000000","11000000","10000000","","",""
"PCX ABS/ADV 150 ABS ISS","19500000","18500000","17500000","16500000","15500000","14500000","13000000","12000000","","","","",""
"PCX ISS/ADV 150 ISS","18500000","17500000","16500000","15500000","14500000","13500000","12000000","11000000","","","","",""
"R15 GP/R15 VVA/MOVISTAR/MT 15","17500000","17000000","16000000","15000000","14000000","13000000","12000000","11000000","10000000","9000000","8000000","",""
"R25 / R 25 MOVISTAR","","","17500000","16500000","15500000","14500000","","","","","","",""
"R25 ABS/MT 25","","","18500000","17500000","16500000","15500000","","","","","","",""
"REVO CW","","","","","","","","4500000","4000000","","","",""
"REVO FIT/REVO X/NEW REVO","8500000","8000000","7500000","7000000","6500000","6000000","5500000","5000000","4500000","4000000","","",""
"SCOOPY CW FI","","","","","","","","","7500000","7000000","6500000","6000000","5000000"
"SCOOPY KEYLESS","14500000","14000000","13500000","13000000","12500000","12000000","11000000","","","","","",""
"SCOOPY NON KEYLESS","14000000","13500000","13000000","12500000","12000000","11500000","10000000","9500000","","","","",""
"SONIC","12000000","11500000","11000000","10500000","10000000","9000000","8000000","7500000","7000000","6500000","6000000","",""
"SOUL GT 125 AKS","","","","","","7000000","6500000","5500000","5000000","4500000","4000000","",""
"STYLO","17000000","16500000","","","","","","","","","","",""
"SUZUKI GSX  R","","14000000","13500000","13000000","12000000","11000000","10500000","10000000","9000000","","","",""
"VARIO 125 ESP/CBS/ISS","13000000","12500000","12000000","11500000","11000000","10500000","10000000","9500000","9000000","8000000","7000000","6000000","5000000"
"VARIO 150 ESP","","","","","","","","10000000","9500000","9000000","8500000","",""
"VERZA 150 CW","","","","","","","","5500000","5000000","4500000","4000000","3500000",""
"VERZA 150 SPOKE","","","","","","","","5000000","4500000","4000000","3500000","3000000",""
"W 175/KLX","","","15500000","15000000","14000000","13000000","12000000","","","","","",""
"WR 155/XSR","23000000","22000000","21000000","20000000","19000000","18000000","","","","","","",""
"X RIDE","","","7000000","6500000","6000000","5500000","5000000","4500000","4000000","","","",""
"XEON GT 125","","","","","","","5500000","5000000","4500000","4000000","","",""
"XMAX","","","27000000","25000000","24000000","23000000","22000000","20000000","","","","",""
